,DEPTH,DT,GR,ILD,NPHI,RHOB,Porosidade_DT,Classe_poro_dt
95,2989.0,91.7546,72.125,2.9453,25.9062,2.4511,0.2688315789473684,Alta
96,2989.2,89.5742,64.0742,2.8738,23.8125,2.4756,0.25243759398496246,Alta
97,2989.4,87.4414,63.8911,2.7424,21.5742,2.4885,0.2364015037593985,Alta
98,2989.6,88.3555,62.5898,2.6301,23.25,2.4651,0.24327443609022562,Alta
99,2989.8,91.9883,59.1367,2.595,25.8867,2.4309,0.27058872180451127,Alta
100,2990.0,94.418,56.1719,2.6309,26.3503,2.4149,0.2888571428571429,Alta
101,2990.2,94.4375,54.625,2.6719,26.3982,2.4108,0.28900375939849626,Alta
102,2990.4,93.7874,54.3586,2.6956,26.8904,2.4108,0.28411578947368427,Alta
103,2990.6,93.8398,54.582,2.717,26.6914,2.4024,0.2845097744360902,Alta
104,2990.8,94.1875,54.3203,2.7554,25.9805,2.385,0.28712406015037595,Alta
105,2991.0,94.5586,52.543,2.8291,25.25,2.3778,0.2899142857142857,Alta
106,2991.2,94.1367,46.6875,2.98,25.6016,2.3904,0.2867421052631579,Alta
107,2991.4,91.2773,38.3125,3.1846,27.0273,2.418,0.2652428571428571,Alta
108,2991.6,84.3125,34.6523,3.3228,26.2422,2.4902,0.21287593984962405,Alta
109,2991.8,74.875,40.625,3.2681,20.4375,2.6128,0.14191729323308272,Intermediária
110,2992.0,70.4609,50.4375,3.134,15.6914,2.6803,0.1087285714285714,Intermediária
111,2992.2,74.3125,57.5625,3.0332,17.2305,2.6313,0.13768796992481203,Intermediária
112,2992.4,82.4375,59.6602,2.9312,22.2148,2.5334,0.1987781954887218,Alta
113,2992.6,88.3672,59.207,2.7336,24.9102,2.4795,0.24336240601503756,Alta
114,2992.8,91.4375,59.0552,2.4729,25.9727,2.4599,0.26644736842105265,Alta
115,2993.0,92.7463,61.9375,2.2671,27.2969,2.4449,0.2762879699248121,Alta
116,2993.2,92.7227,67.9375,2.1428,27.2773,2.4438,0.2761105263157895,Alta
117,2993.4,92.0977,72.0742,2.0491,25.75,2.4595,0.27141127819548877,Alta
118,2993.6,92.2227,73.082,1.9712,25.2617,2.458,0.2723511278195489,Alta
119,2993.8,93.8242,74.1328,1.8972,25.9883,2.4199,0.28439248120300753,Alta
120,2994.0,94.4263,75.6875,1.8252,26.6445,2.3799,0.2889195488721804,Alta
121,2994.2,92.7812,76.582,1.7698,26.4336,2.3687,0.2765503759398496,Alta
122,2994.4,90.2695,76.582,1.7617,24.7266,2.4041,0.25766541353383454,Alta
123,2994.6,89.8438,81.5,1.8005,24.375,2.4395,0.25446466165413534,Alta
124,2994.8,91.4375,93.25,1.8782,25.9766,2.4312,0.26644736842105265,Alta
125,2995.0,93.2891,98.7461,1.9683,27.0,2.3994,0.2803691729323309,Alta
126,2995.2,94.3867,92.8125,2.0422,28.0859,2.3994,0.2886218045112782,Alta
127,2995.4,94.6284,85.875,2.0898,28.3462,2.4309,0.2904390977443609,Alta
128,2995.6,94.1719,84.2969,2.0889,26.5,2.4685,0.2870067669172932,Alta
129,2995.8,93.3438,87.6875,2.0398,25.0664,2.4939,0.2807804511278196,Alta
130,2996.0,93.2192,98.0,1.9778,25.5195,2.501,0.2798436090225564,Alta
131,2996.2,94.5547,114.5625,1.9351,27.1875,2.4866,0.289884962406015,Alta
132,2996.4,97.1641,123.1367,1.9075,28.8594,2.4512,0.3095045112781955,Muito alta
133,2996.6,100.0742,116.625,1.8876,30.9336,2.3931,0.33138496240601506,Muito alta
134,2996.8,102.3289,105.3125,1.8982,32.7539,2.3394,0.34833759398496245,Muito alta
135,2997.0,101.8242,102.4688,1.9941,31.4102,2.3479,0.34454285714285715,Muito alta
136,2997.2,98.1875,105.75,2.1934,29.375,2.3862,0.31719924812030076,Muito alta
137,2997.4,92.875,110.1602,2.4578,29.2734,2.3997,0.27725563909774437,Alta
138,2997.6,86.8125,114.0352,2.7288,27.875,2.4023,0.23167293233082706,Alta
