,DEPTH,DT,GR,ILD,NPHI,RHOB
132,2996.4,97.1641,123.1367,1.9075,28.8594,2.4512
133,2996.6,100.0742,116.625,1.8876,30.9336,2.3931
134,2996.8,102.3289,105.3125,1.8982,32.7539,2.3394
135,2997.0,101.8242,102.4688,1.9941,31.4102,2.3479
136,2997.2,98.1875,105.75,2.1934,29.375,2.3862
137,2997.4,92.875,110.1602,2.4578,29.2734,2.3997
138,2997.6,86.8125,114.0352,2.7288,27.875,2.4023
139,2997.8,81.9453,117.1406,3.0117,23.9258,2.4202
140,2998.0,80.9084,116.4609,3.3359,22.5474,2.4197
141,2998.2,83.7969,111.0,3.5679,26.2461,2.3926
142,2998.4,87.2734,104.0,3.5007,27.9648,2.3856
143,2998.6,89.7031,98.7812,3.1758,25.5117,2.4016
144,2998.8,91.3516,98.875,2.8137,23.668,2.4139
145,2999.0,93.4609,106.5625,2.5906,24.5195,2.4165
146,2999.2,95.3672,116.6875,2.5134,25.918,2.4163
147,2999.4,96.1497,121.8906,2.5547,27.3359,2.4131
148,2999.6,95.8047,120.4648,2.7317,28.1809,2.4186
149,2999.8,94.3906,117.9102,3.0352,26.9062,2.4404
150,3000.0,92.1406,116.7734,3.4414,24.043,2.4586
151,3000.2,90.5195,116.5469,3.9531,23.168,2.4407
152,3000.4,90.4453,118.2539,4.4922,24.8945,2.4026
153,3000.6,91.3125,124.0,4.9102,27.3672,2.3708
154,3000.8,92.8398,133.0625,4.9949,28.6484,2.3582
155,3001.0,94.9414,137.8633,4.7891,29.0977,2.354
156,3001.2,97.4023,133.0,4.4062,29.8242,2.3533
157,3001.4,99.7422,123.875,3.9531,31.082,2.358
158,3001.6,101.4492,120.1406,3.5273,31.6116,2.3698
159,3001.8,102.2344,122.4492,3.1836,31.5659,2.3854
160,3002.0,102.668,127.5352,2.9087,31.8711,2.3845
161,3002.2,103.3125,128.8594,2.6738,32.6328,2.3586
162,3002.4,104.0859,123.5,2.458,32.6211,2.3364
163,3002.6,104.4375,113.75,2.2793,31.4062,2.3401
164,3002.8,103.5273,104.625,2.1685,30.207,2.3672
165,3003.0,101.5156,99.5586,2.1221,30.2773,2.3992
166,3003.2,99.5625,97.6602,2.1113,30.3008,2.4196
167,3003.4,97.8008,96.4023,2.1074,29.2539,2.4254
168,3003.6,96.0977,98.875,2.124,27.8945,2.4305
169,3003.8,95.293,109.6875,2.2236,27.2031,2.4373
170,3004.0,96.3203,124.625,2.4805,28.3125,2.4327
171,3004.2,98.1641,130.2383,2.7891,30.5859,2.4133
172,3004.4,99.0625,122.5625,3.0588,32.0469,2.3904
173,3004.6,97.9102,112.8672,3.2969,31.4141,2.3745
174,3004.8,96.5078,116.6875,3.6055,29.1602,2.3636
175,3005.0,96.5469,134.875,3.9922,28.2012,2.3495
176,3005.2,97.8398,153.5625,4.2,30.1523,2.3245
177,3005.4,99.3164,157.1875,4.0586,31.6504,2.2957
178,3005.6,100.4492,146.4375,3.7227,31.7209,2.2874
179,3005.8,100.5117,130.75,3.3594,32.6489,2.3176
180,3006.0,99.4453,119.125,3.0195,32.0742,2.375
181,3006.2,98.2422,113.8984,2.7109,29.3398,2.4236
182,3006.4,97.707,117.75,2.4915,28.7812,2.4331
183,3006.6,98.9336,129.5,2.4231,31.2617,2.4041
184,3006.8,100.3086,132.7031,2.4456,33.0508,2.3682
185,3007.0,100.5095,117.4375,2.5002,33.6484,2.3418
